slug,source_file,wav_path,srt_path,segment_index,start_seconds,end_seconds,duration_seconds,local_speaker_label,speaker_label,run_id,model_id,device
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,145,662.273,663.455,1.181,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,146,663.59,679.334,15.744,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,147,679.368,685.628,6.261,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,148,685.628,685.898,0.27,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,149,685.898,697.643,11.745,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,150,697.778,704.95,7.172,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,151,705.068,715.463,10.395,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,152,706.165,706.739,0.574,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,153,715.582,723.395,7.813,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,154,723.715,727.799,4.084,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,155,727.799,728.761,0.962,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,156,728.761,735.359,6.598,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,157,735.359,736.22,0.861,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,158,735.393,735.41,0.017,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,159,735.967,746.817,10.851,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,160,747.053,752.217,5.164,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,161,752.217,758.765,6.548,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,162,758.933,760.688,1.755,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,163,761.11,767.54,6.429,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,164,767.658,769.345,1.688,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,165,769.345,774.256,4.911,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,166,774.847,790.979,16.132,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,167,790.844,799.585,8.741,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,168,799.518,799.957,0.439,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,169,799.602,804.277,4.674,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,170,804.209,823.295,19.086,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,171,810.892,811.212,0.321,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
